Team,Season,Jersey Type,Design,Color,Brand,Sponsor,League,Nation,Rating,Worn By Player,Image 1,Image 2,Tournament won,Standing,Team Logo,,,,,
Chennai Super Kings,2020,Home,Yellow/Blue,Yellow,SEVEN,Muthoot Group,IPL,India,4.3/5,"MS Dhoni, Sam Curran, Faf du Plessis",https://drive.google.com/file/d/1IHOXG3vduWg8rpJeL5XIMi_pWZg2qORR/view?usp=sharing,,NO,7,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2019,Home,Yellow/Blue,Yellow,SEVEN,Muthoot Group,IPL,India,4.3/5,"MS Dhoni, Imran Tahir, Deepak Chahar",https://drive.google.com/file/d/1IHOXG3vduWg8rpJeL5XIMi_pWZg2qORR/view?usp=sharing,,NO,2,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2018,Home,Yellow/Blue,Yellow,SEVEN,Muthoot Group,IPL,India,4.3/5,"MS Dhoni, Shane Watson, Ambati Rayudu",https://drive.google.com/file/d/1IHOXG3vduWg8rpJeL5XIMi_pWZg2qORR/view?usp=sharing,,Yes,1,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2017,Home,-,-,-,-,-,-,-,Suspended,-,,NO,Suspended,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2016,Home,-,-,-,-,-,-,-,Suspended,-,,NO,Suspended,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2015,Home,Yellow/Blue,Yellow,Spartan,Aircel,IPL,India,4.3/5,"MS Dhoni, Brendon McCullum, Dwayne Bravo",https://drive.google.com/file/d/1DZjHerxpsmyOmJa6xXQN9UwA95ioxYLg/view?usp=sharing,,NO,2,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2014,Home,Yellow/Blue,Yellow,Reebok,Aircel,IPL,India,4.3/5,"MS Dhoni, Suresh Raina, Dwayne Smith",https://drive.google.com/file/d/1HelqwaPZmX1nqsDnpbfuXvwMgjwh-c3G/view?usp=sharing,,NO,3,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2013,Home,Yellow/Blue,Yellow,Reebok,Aircel,IPL,India,4.3/5,"MS Dhoni, Michael Hussey, Suresh Raina",https://drive.google.com/file/d/1HelqwaPZmX1nqsDnpbfuXvwMgjwh-c3G/view?usp=sharing,,NO,2,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2012,Home,Yellow/Blue,Yellow,Reebok,Aircel,IPL,India,4.3/5,"MS Dhoni, Suresh Raina, Albie Morkel",https://drive.google.com/file/d/1HelqwaPZmX1nqsDnpbfuXvwMgjwh-c3G/view?usp=sharing,,NO,2,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2011,Home,Yellow/Blue,Yellow,Reebok,Aircel,IPL,India,4.3/5,"MS Dhoni, Mike Hussey, R Ashwin",https://drive.google.com/file/d/1HelqwaPZmX1nqsDnpbfuXvwMgjwh-c3G/view?usp=sharing,,Yes,1,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
Chennai Super Kings,2010,Home,Yellow/Blue,Yellow,Reebok,Aircel,IPL,India,4.3/5,"MS Dhoni, Murali Vijay, Doug Bollinger",https://drive.google.com/file/d/17qxLCxy_-pYAyuVGsNGUKuppJVhcaxOe/view?usp=sharing,,Yes,1,https://drive.google.com/file/d/1vpZi6ZVHgc-59mIx2pj4V4xYScdrzrQf/view?usp=sharing,,,,,
